 EQUATION NUMBER
 ---------------------
     node   dof    eqn
   90   -4.325E-02  3.025E+00
   91   -4.847E-01  4.253E+00
   92   -1.104E+00  5.738E+00
   93   -1.906E+00  7.496E+00
   94   -2.893E+00  9.539E+00
   95   -4.063E+00  1.188E+01
   96   -5.405E+00  1.451E+01
   97   -6.898E+00  1.742E+01
   98   -8.512E+00  2.056E+01
   99    0.000E+00  0.000E+00
  100    1.293E-01  2.615E-01
  101    1.694E-01  6.654E-01
  102    8.448E-02  1.253E+00
  103   -1.483E-01  2.045E+00
  104   -5.406E-01  3.058E+00
  105   -1.097E+00  4.306E+00
  106   -1.818E+00  5.806E+00
  107   -2.704E+00  7.572E+00
  108   -3.752E+00  9.621E+00
  109   -4.956E+00  1.196E+01
  110   -6.301E+00  1.459E+01
  111   -7.764E+00  1.750E+01
  112   -9.324E+00  2.067E+01
  113    0.000E+00  0.000E+00
  114    4.234E-02  2.257E-01
  115   -2.707E-02  6.332E-01
  116   -2.375E-01  1.243E+00
  117   -6.012E-01  2.061E+00
  118   -1.120E+00  3.097E+00
  119   -1.790E+00  4.362E+00
  120   -2.607E+00  5.873E+00
  121   -3.568E+00  7.646E+00
  122   -4.667E+00  9.698E+00
  123   -5.895E+00  1.204E+01
  124   -7.236E+00  1.467E+01
  125   -8.664E+00  1.759E+01
  126   -1.017E+01  2.078E+01
  127    0.000E+00  0.000E+00
  128   -7.058E-02  1.962E-01
  129   -2.755E-01  6.150E-01
  130   -6.318E-01  1.249E+00
  131   -1.138E+00  2.091E+00
  132   -1.786E+00  3.144E+00
  133   -2.566E+00  4.421E+00
  134   -3.473E+00  5.939E+00
  135   -4.500E+00  7.717E+00
  136   -5.641E+00  9.771E+00
  137   -6.885E+00  1.211E+01
  138   -8.213E+00  1.474E+01
  139   -9.604E+00  1.766E+01
  140   -1.104E+01  2.089E+01
  141    0.000E+00  0.000E+00
  142   -2.166E-01  1.809E-01
  143   -5.886E-01  6.202E-01
  144   -1.112E+00  1.278E+00
  145   -1.769E+00  2.137E+00
  146   -2.546E+00  3.201E+00
  147   -3.430E+00  4.485E+00
  148   -4.417E+00  6.006E+00
  149   -5.502E+00  7.785E+00
  150   -6.676E+00  9.837E+00
  151   -7.929E+00  1.217E+01
  152   -9.241E+00  1.480E+01
  153   -1.059E+01  1.773E+01
  154   -1.196E+01  2.099E+01
  155    0.000E+00  0.000E+00
  156   -4.111E-01  1.920E-01
  157   -9.890E-01  6.590E-01
  158   -1.698E+00  1.334E+00
  159   -2.509E+00  2.202E+00
  160   -3.407E+00  3.269E+00
  161   -4.386E+00  4.553E+00
  162   -5.443E+00  6.073E+00
  163   -6.576E+00  7.849E+00
  164   -7.776E+00  9.897E+00
  165   -9.032E+00  1.223E+01
  166   -1.032E+01  1.485E+01
  167   -1.163E+01  1.778E+01
  168   -1.292E+01  2.108E+01
  169    0.000E+00  0.000E+00
  170   -6.911E-01  2.475E-01
  171   -1.519E+00  7.395E-01
  172   -2.419E+00  1.419E+00
  173   -3.371E+00  2.284E+00
  174   -4.375E+00  3.346E+00
  175   -5.434E+00  4.625E+00
  176   -6.552E+00  6.140E+00
  177   -7.725E+00  7.911E+00
  178   -8.946E+00  9.952E+00
  179   -1.020E+01  1.227E+01
  180   -1.147E+01  1.489E+01
  181   -1.272E+01  1.782E+01
  182   -1.393E+01  2.114E+01
  183    0.000E+00  0.000E+00
  184   -1.161E+00  3.665E-01
